arrivalRate,brownoutMethod,discipline,outDir,relativeDeviation,seed,timeNmu,timeNsigma,timeYmu,timeYsigma,optionalRatio,rtAvg,rtMax,rtP95,rtP99,rtP999,utilization
60,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0060,1,1,0.00067,6.7e-06,0.07,0.0007,0.22538619021,0.0601975133258,0.241116820025,0.199226891364,0.214135721646,0.227619733786,0.962374030644
70,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0070,1,1,0.00067,6.7e-06,0.07,0.0007,0.194688849784,0.0609814568302,0.242016356663,0.203519654836,0.2171386458,0.228976268954,0.984645987391
80,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0080,1,1,0.00067,6.7e-06,0.07,0.0007,0.166945140629,0.0575925308951,0.239656103819,0.203831418051,0.218485705687,0.228305852391,0.978566924214
90,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0090,1,1,0.00067,6.7e-06,0.07,0.0007,0.147516679021,0.0544833521501,0.244606684458,0.201154110324,0.219436609296,0.231018689062,0.97941163922
1,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0001,1,2,0.00067,6.7e-06,0.07,0.0007,1.0,0.0740541901046,0.164958461539,0.110498153803,0.151582543392,0.163620869724,0.0559876643561
2,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0002,1,2,0.00067,6.7e-06,0.07,0.0007,1.0,0.0831561274237,0.206247592396,0.161020527151,0.199235513236,0.205726471333,0.136893753104
3,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0003,1,2,0.00067,6.7e-06,0.07,0.0007,0.996226415094,0.086546401202,0.240287163628,0.151724272231,0.213821609747,0.239872505732,0.202004352618
4,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0004,1,2,0.00067,6.7e-06,0.07,0.0007,0.988700564972,0.0907061804847,0.269056001175,0.166017890566,0.225666213928,0.268606394145,0.267388081208
5,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0005,1,2,0.00067,6.7e-06,0.07,0.0007,0.977777777778,0.0935912154128,0.222724244038,0.16909618742,0.211920336179,0.220280273111,0.334926655419
6,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0006,1,2,0.00067,6.7e-06,0.07,0.0007,0.957407407407,0.0972152963472,0.220507624085,0.180286924233,0.199895259371,0.215461555992,0.39250320016
7,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0007,1,2,0.00067,6.7e-06,0.07,0.0007,0.945226917058,0.101699814768,0.220510719237,0.184044268417,0.204989018005,0.218074465505,0.459115876121
8,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0008,1,2,0.00067,6.7e-06,0.07,0.0007,0.923705722071,0.104973086045,0.222002959094,0.186034273443,0.198477005424,0.219250281099,0.514006470389
9,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0009,1,2,0.00067,6.7e-06,0.07,0.0007,0.906172839506,0.106450142927,0.212432333592,0.189398619406,0.202302203075,0.210871537931,0.560108112588
10,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0010,1,2,0.00067,6.7e-06,0.07,0.0007,0.872667398463,0.109027548029,0.221290896841,0.192226415347,0.207056910707,0.221158272624,0.610706532191
20,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0020,1,2,0.00067,6.7e-06,0.07,0.0007,0.618522601985,0.107165539469,0.235999863114,0.203288571074,0.217518738623,0.229476039575,0.873004069241
30,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0030,1,2,0.00067,6.7e-06,0.07,0.0007,0.444362017804,0.0919958919395,0.234337593979,0.203176173726,0.216743947823,0.227830065414,0.93574560513
40,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0040,1,2,0.00067,6.7e-06,0.07,0.0007,0.334893968604,0.0795286422215,0.238388824317,0.203221081981,0.216474013023,0.226521576909,0.959811049841
50,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0050,1,2,0.00067,6.7e-06,0.07,0.0007,0.269461077844,0.0701604712231,0.231837660547,0.202327253557,0.216853433152,0.227578397647,0.963271970025
60,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0060,1,2,0.00067,6.7e-06,0.07,0.0007,0.226069246436,0.065306978255,0.237449120107,0.203470846865,0.217524030725,0.230844871229,0.977571564223
70,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0070,1,2,0.00067,6.7e-06,0.07,0.0007,0.19056724028,0.0562391074024,0.237600112633,0.197045914994,0.215234700201,0.227424626477,0.959605950093
80,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0080,1,2,0.00067,6.7e-06,0.07,0.0007,0.166137712157,0.0575105771254,0.244601769082,0.20314728223,0.218301354769,0.229295056661,0.978614916671
90,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0002-arrivalRate0090,1,2,0.00067,6.7e-06,0.07,0.0007,0.14582569368,0.0542919225929,0.232424989881,0.201958267025,0.218564189464,0.228518449377,0.978782727067
1,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0001,1,3,0.00067,6.7e-06,0.07,0.0007,1.0,0.0720938287234,0.108094856587,0.0900314626479,0.0986741622425,0.107152787153,0.0571764783772
2,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0002,1,3,0.00067,6.7e-06,0.07,0.0007,1.0,0.079060251586,0.177473349353,0.125548236661,0.146931611948,0.175736516457,0.131115594557
3,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0003,1,3,0.00067,6.7e-06,0.07,0.0007,0.992481203008,0.083903390809,0.26110916926,0.137442109172,0.194030788288,0.259065930366,0.205594112557
4,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0004,1,3,0.00067,6.7e-06,0.07,0.0007,0.991803278689,0.0887115873093,0.271260026536,0.159687919491,0.223283318545,0.266511079841,0.276766746897
5,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0005,1,3,0.00067,6.7e-06,0.07,0.0007,0.987152034261,0.0932186936832,0.212014830633,0.165286688212,0.190871819872,0.207265778354,0.354341412958
6,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0006,1,3,0.00067,6.7e-06,0.07,0.0007,0.96013864818,0.0982152889392,0.212075173543,0.175762387709,0.190723034479,0.207287870344,0.424946868869
7,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0007,1,3,0.00067,6.7e-06,0.07,0.0007,0.947058823529,0.105325234246,0.222395366966,0.18808465334,0.207046230261,0.219088596703,0.489450957277
8,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0008,1,3,0.00067,6.7e-06,0.07,0.0007,0.922163588391,0.108315953287,0.227765300702,0.194336209165,0.212734771451,0.221992722796,0.534590206605
9,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0009,1,3,0.00067,6.7e-06,0.07,0.0007,0.885747938751,0.107657112314,0.220369793232,0.19053784336,0.204237579617,0.217250312159,0.576432799335
10,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0010,1,3,0.00067,6.7e-06,0.07,0.0007,0.862068965517,0.110751294171,0.21662198883,0.194571926867,0.207489354131,0.213239048505,0.614120750386
20,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0020,1,3,0.00067,6.7e-06,0.07,0.0007,0.607358594179,0.105319556299,0.232738847852,0.202418251527,0.214092683983,0.229731990862,0.864011285112
30,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0030,1,3,0.00067,6.7e-06,0.07,0.0007,0.443211246763,0.0915160416296,0.230731802809,0.20368000868,0.2162848338,0.226383725301,0.940378261169
40,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0040,1,3,0.00067,6.7e-06,0.07,0.0007,0.33572216097,0.0791603790664,0.229685769317,0.202950595572,0.217992509502,0.224811212732,0.967386763584
50,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0050,1,3,0.00067,6.7e-06,0.07,0.0007,0.268389662028,0.071478404801,0.233651821715,0.204550761865,0.217789522851,0.229948683464,0.966989617165
60,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0060,1,3,0.00067,6.7e-06,0.07,0.0007,0.224192059095,0.065899799608,0.283837954446,0.203975349589,0.218575187545,0.266101237799,0.976244220307
70,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0070,1,3,0.00067,6.7e-06,0.07,0.0007,0.190228526399,0.0605825857119,0.235332660515,0.202109207539,0.216515590094,0.227695571087,0.977367688555
80,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0003-arrivalRate0080,1,3,0.00067,6.7e-06,0.07,0.0007,0.166504652132,0.0572175659672,0.235836875245,0.201760520154,0.216729406396,0.227526427539,0.976879690763
