arrivalRate,brownoutMethod,discipline,outDir,relativeDeviation,seed,timeNmu,timeNsigma,timeYmu,timeYsigma,optionalRatio,rtAvg,rtMax,rtP95,rtP99,rtP999,utilization
10,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0010,1,1,0.00067,6.7e-06,0.07,0.0007,0.896313364055,0.115045723929,0.272283396593,0.210885408129,0.250154474605,0.262026714014,0.607827569579
20,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0020,1,1,0.00067,6.7e-06,0.07,0.0007,0.628587507034,0.107710409764,0.237960877293,0.203396516816,0.2191485046,0.231269708251,0.874574017218
30,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0030,1,1,0.00067,6.7e-06,0.07,0.0007,0.449850299401,0.0919133041044,0.234029705578,0.202615794539,0.216830981368,0.23028075619,0.945393138366
40,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0040,1,1,0.00067,6.7e-06,0.07,0.0007,0.34013986014,0.0768903368802,0.232290201341,0.200924064124,0.216422017013,0.227087526776,0.962949188666
50,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0050,1,1,0.00067,6.7e-06,0.07,0.0007,0.271201611099,0.0669487883688,0.234722870639,0.198988840808,0.21343060349,0.231817233414,0.970045847441
60,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0060,1,1,0.00067,6.7e-06,0.07,0.0007,0.22631676903,0.0604300245325,0.23437479215,0.1969207653,0.213953995216,0.22819069819,0.977361358015
70,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0070,1,1,0.00067,6.7e-06,0.07,0.0007,0.194368900976,0.0558989810697,0.236911090408,0.19505060857,0.213575372612,0.226090454345,0.982499043383
80,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0080,1,1,0.00067,6.7e-06,0.07,0.0007,0.168476747424,0.0520954831419,0.233811099027,0.189779273422,0.215389291744,0.229014329071,0.984613809684
90,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0090,1,1,0.00067,6.7e-06,0.07,0.0007,0.148820550821,0.0492549492003,0.234784354162,0.186537813317,0.211862797232,0.225839115294,0.988324772859
100,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0100,1,1,0.00067,6.7e-06,0.07,0.0007,0.132167367722,0.0468558788347,0.232685422332,0.179335567494,0.212990715921,0.225459954867,0.98898045352
